canonical_project_id,project_id,base_risk_score,anomaly_score,trajectory_risk_score,data_confidence_score,final_risk_score,risk_category,future_deterioration_probability,predicted_future_deterioration,risk_explanation,predictive_risk_band
618600,618600,27.54,-0.049278615188153685,30.0,90.0,25.03,LOW,0.0103,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618601,618601,0.0,0.02852207690414199,10.0,90.0,12.11,LOW,0.0748,0,Anomalous Project Pattern,LOW_PREDICTIVE_SIGNAL
618602,618602,0.0,0.031072449042008565,10.0,90.0,12.11,LOW,0.0727,0,Anomalous Project Pattern,LOW_PREDICTIVE_SIGNAL
618603,618603,2.56,-0.03311679198313511,10.0,90.0,3.47,LOW,0.1549,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618604,618604,0.0,-0.10925110164119006,10.0,90.0,1.58,LOW,0.0853,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618605,618605,22.94,-0.0895604530381891,30.0,90.0,21.64,LOW,0.282,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618606,618606,48.86,-0.009400103305437835,60.0,90.0,45.48,MEDIUM,0.2114,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618607,618607,54.33,-0.02483239657683778,60.0,90.0,49.51,MEDIUM,0.4492,0,Progress Stagnation,WATCH
618608,618608,0.0,-0.10634929552319988,10.0,90.0,1.58,LOW,0.1508,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618609,618609,0.0,-0.059369166744256574,10.0,85.7,1.58,LOW,0.3129,0,Limited Adverse Evidence,WATCH
618610,618610,78.07,-0.05912703052860152,60.0,90.0,67.0,HIGH,0.2477,0,High Cost Escalation; Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618611,618611,39.08,-0.11710636691039655,60.0,85.7,38.27,MEDIUM,0.082,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618612,618612,35.71,-0.1053019245489325,60.0,90.0,35.79,MEDIUM,0.0405,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618613,618613,35.71,-0.10821632458581337,60.0,90.0,35.79,MEDIUM,0.0834,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618614,618614,100.0,-0.1316072032169236,60.0,56.4,83.16,CRITICAL,0.2305,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618615,618615,40.37,-0.10889990532195226,60.0,90.0,39.22,MEDIUM,0.1115,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618616,618616,0.0,-0.07030426723420652,10.0,90.0,1.58,LOW,0.2134,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618617,618617,37.14,-0.11452011452682809,30.0,90.0,32.1,LOW,0.2568,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618618,618618,41.79,-0.0554069979624196,30.0,90.0,35.53,MEDIUM,0.2854,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618619,618619,49.96,-0.06267923679779824,60.0,90.0,46.29,MEDIUM,0.1116,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618620,618620,16.0,-0.12511343118886348,30.0,85.7,16.53,LOW,0.3749,0,Limited Adverse Evidence,WATCH
